"provincia"	"estacion"	"media"	"ene"	"feb"	"mar"	"abr"	"may"	"jun"	"jul"	"ago"	"sep"	"oct"	"nov"	"dic"
"La Pampa"	"SANTA ROSA AERO"	"Precipitación (mm)"	"94.6"	"81.0"	"102.3"	"58.0"	"32.9"	"15.5"	"21.5"	"28.1"	"50.9"	"74.7"	"81.7"	"104.3"
"La Pampa"	"SANTA ROSA AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"9.1"	"6.8"	"8.0"	"6.0"	"5.1"	"4.3"	"4.3"	"3.7"	"5.7"	"8.5"	"7.8"	"8.4"
"Neuquen"	"NEUQUÉN AERO"	"Temperatura (°C)"	"23.7"	"22.3"	"18.9"	"13.4"	"9.2"	"6.6"	"5.8"	"8.1"	"11.4"	"15.6"	"19.4"	"22.4"
"Neuquen"	"NEUQUÉN AERO"	"Temperatura máxima (°C)"	"31.9"	"30.6"	"27.0"	"21.6"	"16.5"	"12.9"	"12.9"	"15.9"	"18.9"	"23.2"	"27.1"	"30.2"
"Neuquen"	"NEUQUÉN AERO"	"Temperatura mínima (°C)"	"15.5"	"14.2"	"11.6"	"6.8"	"3.5"	"1.5"	"0.2"	"1.6"	"4.4"	"8.2"	"11.6"	"14.5"
"Neuquen"	"NEUQUÉN AERO"	"Humedad relativa (%)"	"36.7"	"44.0"	"53.4"	"62.2"	"67.7"	"71.7"	"68.5"	"58.7"	"51.1"	"44.3"	"38.3"	"36.1"
"Neuquen"	"NEUQUÉN AERO"	"Velocidad del Viento (km/h)"	"12.8"	"11.3"	"9.9"	"8.8"	"8.3"	"9.3"	"9.5"	"9.7"	"10.3"	"12.8"	"13.9"	"13.8"
"Neuquen"	"NEUQUÉN AERO"	"Nubosidad total (octavos)"	"2.6"	"2.6"	"3.1"	"3.5"	"4.3"	"4.8"	"4.4"	"4.3"	"4.0"	"3.8"	"3.4"	"3.1"
"Neuquen"	"NEUQUÉN AERO"	"Precipitación (mm)"	"12.9"	"11.9"	"23.6"	"15.3"	"21.1"	"23.5"	"15.9"	"11.4"	"19.3"	"20.3"	"14.5"	"11.2"
"Neuquen"	"NEUQUÉN AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"2.7"	"2.6"	"3.5"	"4.9"	"5.5"	"7.1"	"4.9"	"3.9"	"4.6"	"4.1"	"2.9"	"3.0"
"Rio Negro"	"BARILOCHE AERO"	"Temperatura (°C)"	"15.0"	"14.8"	"11.9"	"7.9"	"4.9"	"2.9"	"2.1"	"3.0"	"5.1"	"8.0"	"10.8"	"13.5"
"Rio Negro"	"BARILOCHE AERO"	"Temperatura máxima (°C)"	"22.6"	"23.0"	"19.7"	"14.6"	"10.2"	"6.9"	"6.7"	"8.3"	"11.5"	"14.8"	"17.9"	"20.5"
"Rio Negro"	"BARILOCHE AERO"	"Temperatura mínima (°C)"	"6.6"	"6.3"	"4.7"	"2.3"	"0.6"	"-0.6"	"-1.6"	"-1.1"	"-0.2"	"1.8"	"3.7"	"5.9"
"Rio Negro"	"BARILOCHE AERO"	"Humedad relativa (%)"	"54.1"	"54.8"	"62.4"	"69.8"	"76.4"	"80.2"	"78.9"	"75.9"	"68.2"	"62.5"	"57.7"	"54.9"
"Rio Negro"	"BARILOCHE AERO"	"Velocidad del Viento (km/h)"	"22.9"	"19.8"	"18.3"	"19.1"	"15.9"	"17.9"	"16.6"	"16.8"	"17.1"	"23.4"	"25.4"	"25.2"
"Rio Negro"	"BARILOCHE AERO"	"Nubosidad total (octavos)"	"2.9"	"2.7"	"3.4"	"4.0"	"4.9"	"5.5"	"5.0"	"4.8"	"4.2"	"4.0"	"3.6"	"3.3"
"Rio Negro"	"BARILOCHE AERO"	"Precipitación (mm)"	"20.0"	"15.3"	"35.2"	"58.9"	"130.1"	"170.1"	"122.1"	"101.4"	"56.5"	"49.4"	"29.3"	"23.4"
"Rio Negro"	"BARILOCHE AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"3.7"	"3.4"	"6.7"	"8.2"	"13.6"	"16.1"	"14.0"	"13.0"	"9.1"	"8.3"	"5.4"	"4.6"
"Chubut"	"ESQUEL AERO"	"Temperatura (°C)"	"15.1"	"15.0"	"12.3"	"8.2"	"4.9"	"2.4"	"1.5"	"3.2"	"5.5"	"8.4"	"11.2"	"13.6"
"Chubut"	"ESQUEL AERO"	"Temperatura máxima (°C)"	"21.7"	"22.2"	"19.1"	"14.4"	"10.1"	"6.7"	"6.1"	"8.5"	"11.8"	"14.7"	"17.6"	"19.9"
"Chubut"	"ESQUEL AERO"	"Temperatura mínima (°C)"	"8.2"	"7.7"	"5.5"	"2.7"	"0.5"	"-1.8"	"-2.8"	"-1.4"	"0.0"	"2.3"	"4.7"	"7.0"
"Chubut"	"ESQUEL AERO"	"Humedad relativa (%)"	"48.0"	"50.1"	"56.5"	"63.5"	"72.2"	"76.6"	"75.5"	"70.9"	"62.9"	"55.2"	"50.0"	"48.1"
"Chubut"	"ESQUEL AERO"	"Velocidad del Viento (km/h)"	"23.4"	"20.0"	"17.2"	"17.4"	"14.5"	"15.4"	"14.6"	"14.7"	"15.8"	"20.6"	"23.5"	"23.8"
"Chubut"	"ESQUEL AERO"	"Nubosidad total (octavos)"	"3.3"	"3.0"	"3.5"	"3.8"	"4.4"	"4.7"	"4.5"	"4.3"	"4.1"	"3.9"	"3.7"	"3.6"
"Chubut"	"ESQUEL AERO"	"Precipitación (mm)"	"18.8"	"18.4"	"24.5"	"43.1"	"65.0"	"79.4"	"60.2"	"47.0"	"35.7"	"28.3"	"20.8"	"20.8"
"Chubut"	"ESQUEL AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"3.8"	"3.7"	"5.6"	"7.0"	"9.7"	"11.0"	"9.4"	"9.6"	"7.3"	"6.1"	"4.4"	"4.1"
